versao,bloco,p,r,eligible,d1,Delta,J,zeros_rel_sup,razao_Zp_Z,polos_rel_sup,arq_rel_sup,B2_rel_sup,theta_rel,orcamento2,orcamento_anterior
m4-v1,b01,2,5,False,1,1,6,0.000293939220382,0.0874468777378746,6.052281e-09,5.794264e-09,0.000293951066923,1.5165554461375984e-11,0.00029395108208855446,0.0033613579511655545
m4-v1,b01,37,1,True,1,1,6,7.0026861049e-05,0.08744687773787459,1.441871e-09,1.380403e-09,7.002968332e-05,1.9093255892767764e-11,7.00297024132559e-05,0.0008007959970932558
m4-v1,b01,41,1,True,1,1,6,6.7752021098e-05,0.0874468777378746,1.395032e-09,1.33556e-09,6.7754751687e-05,2.251492084936862e-11,6.775477420192085e-05,0.0007747819445149208
m4-v1,b01,43,1,True,1,1,6,5.7090080297e-05,0.0874468777378746,1.1755e-09,1.125387e-09,5.7092381181e-05,1.6283787499739086e-11,5.70923974647875e-05,0.0006528567342837875
m4-v1,b01,47,1,True,1,1,6,7.4356552917e-05,0.08744687773787459,1.531021e-09,1.465751e-09,7.4359549686e-05,1.7703112487354432e-11,7.435956738911248e-05,0.0008503084227031126
m4-v1,b01,7,2,False,1,1,6,0.000132753168381,0.08744687773787459,2.733421e-09,2.616892e-09,0.000132758518691,4.961710139125945e-12,0.00013275852365271013,0.0015181060809617102
m4-v1,b01,53,1,True,1,1,6,7.8432360213e-05,0.0874468777378746,1.614943e-09,1.546096e-09,7.8435521249e-05,3.0125389629345904e-11,7.843555137438962e-05,0.0008969175511253896
m4-v1,b01,59,1,False,1,1,6,6.0820581903e-05,0.0874468777378746,1.252312e-09,1.198924e-09,6.0823033137e-05,1.8286966281757135e-11,6.082305142396628e-05,0.0006955170902869663
m4-v1,b01,61,1,False,1,1,6,8.1307081467e-05,0.0874468777378746,1.674134e-09,1.602763e-09,8.1310358361e-05,8.077300291517004e-12,8.13103664383003e-05,0.0009297915600773003
m4-v1,b01,2,6,False,1,1,6,0.000426444768137,0.0874468777378746,8.780602e-09,8.406273e-09,0.000426461955009,8.724875827105294e-11,0.0004264620422577583,0.004876632418248758
m4-v1,b01,67,1,False,1,1,6,8.092127256e-05,0.0874468777378746,1.66619e-09,1.595158e-09,8.0924533905e-05,3.859600988787911e-11,8.09245725010099e-05,0.0009253796515960098
m4-v1,b01,71,1,False,1,1,6,7.282321044e-05,0.0874468777378746,1.499449e-09,1.435525e-09,7.2826145412e-05,2.002876480717074e-11,7.28261654407648e-05,0.0008327738030287648
m4-v1,b01,73,1,False,1,1,6,7.475790898e-05,0.08744687773787459,1.539285e-09,1.473663e-09,7.4760921924e-05,2.7000373571045075e-11,7.476094892437358e-05,0.0008548981610003736
m4-v1,b01,79,1,False,1,1,6,6.9374309188e-05,0.0874468777378746,1.428435e-09,1.367539e-09,6.9377105159e-05,3.8756644867232e-11,6.937714391564486e-05,0.0007933337247566449
m4-v1,b01,3,4,False,1,1,6,0.000314657347622,0.0874468777378746,6.478872e-09,6.202669e-09,0.000314670029159,2.1872601185164027e-10,0.00031467024788501185,0.003598281424726012
m4-v1,b01,83,1,False,1,1,6,7.6124877636e-05,0.08744687773787459,1.567431e-09,1.500609e-09,7.6127945673e-05,1.0672324180522307e-11,7.612795634532418e-05,0.0008705301886723242
m4-v1,b01,89,1,False,1,1,6,7.0058707417e-05,0.0874468777378746,1.442527e-09,1.38103e-09,7.0061530972e-05,5.1273970328566303e-11,7.006158224597033e-05,0.0008011602102739703
m4-v1,b01,97,1,False,1,1,6,9.1727251048e-05,0.0874468777378746,1.888688e-09,1.80817e-09,9.1730947903e-05,4.4663078094893957e-11,9.173099256607809e-05,0.0010489520126630782
m4-v1,b01,101,1,False,1,1,6,7.264557162e-05,0.0874468777378746,1.495791e-09,1.432024e-09,7.2648499432e-05,1.5643454966590105e-11,7.264851507545497e-05,0.0008307424006434549
m4-v1,b01,103,1,False,1,1,6,6.9153429949e-05,0.0874468777378746,1.423887e-09,1.363185e-09,6.9156217018e-05,1.2954747174445085e-11,6.915622997274718e-05,0.0007908078219547472
m4-v1,b01,107,1,False,1,1,6,8.034707044e-05,0.0874468777378746,1.654367e-09,1.583839e-09,8.0350308643e-05,4.4406950119006005e-11,8.035035304995012e-05,0.0009188133374069501
m4-v1,b01,109,1,False,1,1,6,9.576577817e-05,0.08744687773787459,1.971842e-09,1.88778e-09,9.5769637788e-05,1.4661162184604503e-12,9.576963925411622e-05,0.0010951347654661163
m4-v1,b01,113,1,False,1,1,6,6.8935952786e-05,0.0874468777378746,1.419409e-09,1.358898e-09,6.893873109e-05,1.718374295303217e-11,6.893874827374296e-05,0.000788320854183743
m4-v1,b01,11,2,False,1,1,6,0.000147178286954,0.0874468777378746,3.030438e-09,2.901246e-09,0.000147184218635,1.862392787140304e-10,0.0001471844048742787,0.0016830654892392787
m4-v1,b01,5,3,False,1,1,6,0.000291808053091,0.08744687773787459,6.008399e-09,5.752253e-09,0.000291819813741,3.3394645421789644e-10,0.0002918201476874542,0.0033369871899464544
m4-v1,b01,127,1,False,1,1,6,9.1187176982e-05,0.0874468777378746,1.877567e-09,1.797524e-09,9.1190852071e-05,4.8260542964621246e-11,9.119090033154297e-05,0.0010427759692605428
m4-v1,b01,2,7,False,1,1,6,0.000626958200992,0.0874468777378746,1.2909221e-08,1.2358884e-08,0.000626983469094,5.936173760720561e-12,0.0006269834750301737,0.007169614598936174
