versao,bloco,p,r,eligible,d1,Delta,L2_sobre_L0,zeros_rel_sup,orcamento_rel,P0_rel,fr_P0,P1a_rel,fr_P1a,P1b_rel,fr_P1b,P2_rel,fr_P2,P3_rel,fr_P3,fr_proximos,fr_distantes,fr_L0,fr_L2
m4-v1,b01,59,1,False,1,0.5,127.2752815,0.001082139392,0.0010821418951974429,2.351733e-06,0.0021732255607239243,0.000669257006,0.618457296016497,0.000410515599,0.3793555615466095,6e-12,5.544572179045643e-09,1.5054e-08,1.3911331597225516e-05,0.620630521577221,0.379369478422779,0.0021732255607239243,0.997826774439276
m4-v1,b01,61,1,False,1,0.5,127.2752815,0.001446641793,0.0014466451400241402,3.143878e-06,0.0021732249130365236,0.000894686177,0.6184572967544557,0.000548791613,0.3793555619642679,7e-12,4.838792851139792e-09,2.0125e-08,1.3911529447026901e-05,0.6206305216674923,0.37936947833250767,0.0021732249130365236,0.9978267750869635
m4-v1,b01,2,6,False,1,0.5,127.2752815,0.007587442723,0.007587460368603078,1.6489213e-05,0.00217322404780421,0.004692509333,0.6184572985394325,0.002878338606,0.37935556271135845,3.3e-11,4.34929147786125e-09,1.05544e-07,1.3910352113314779e-05,0.6206305225872368,0.37936947741276317,0.00217322404780421,0.9978267759521958
m4-v1,b01,67,1,False,1,0.5,127.2752815,0.001439777357,0.0014397806899006439,3.12896e-06,0.0021732248890761314,0.000890440816,0.6184572968591673,0.000546187551,0.3793555622113223,7e-12,4.861862798991652e-09,2.0029e-08,1.3911178571571971e-05,0.6206305217482434,0.3793694782517566,0.0021732248890761314,0.9978267751109239
m4-v1,b01,71,1,False,1,0.5,127.2752815,0.001295694026,0.0012956970292437337,2.815835e-06,0.0021732252586517857,0.000801331428,0.6184572959285983,0.000491528738,0.3793555619469307,7e-12,5.402510022981637e-09,1.8025e-08,1.3911463309177718e-05,0.6206305211872502,0.37936947881274985,0.0021732252586517857,0.9978267747413482
m4-v1,b01,73,1,False,1,0.5,127.2752815,0.001330116806,0.0013301198975970553,2.890643e-06,0.0021732249165998625,0.000822620448,0.6184572963517603,0.000504587211,0.37935556190883213,7e-12,5.262695675736864e-09,1.8504e-08,1.391156011197642e-05,0.6206305212683602,0.37936947873163984,0.0021732249165998625,0.9978267750834001
m4-v1,b01,79,1,False,1,0.5,127.2752815,0.001234330064,0.0012343329187871923,2.682477e-06,0.0021732250272408905,0.000763380438,0.6184572964344942,0.000468249977,0.37935556167727486,7e-12,5.671092497973415e-09,1.7171e-08,1.3911189897528786e-05,0.6206305214617351,0.37936947853826486,0.0021732250272408905,0.9978267749727591
m4-v1,b01,3,4,False,1,0.5,127.2752815,0.005598484918,0.005598497949854488,1.2166763e-05,0.002173224214258865,0.003462423861,0.6184572983588873,0.002123816398,0.3793555625907764,2.5e-11,4.465493850457318e-09,7.7877e-08,1.391037058368258e-05,0.6206305225731461,0.3793694774268539,0.002173224214258865,0.9978267757857411
m4-v1,b01,83,1,False,1,0.5,127.2752815,0.001354438353,0.0013544414871657032,2.943499e-06,0.002173224776484642,0.000837662286,0.6184572966601871,0.000513813725,0.37935556209391147,7e-12,5.168193852076217e-09,1.8842e-08,1.3911301222974298e-05,0.6206305214366717,0.37936947856332826,0.002173224776484642,0.9978267752235154
m4-v1,b01,89,1,False,1,0.5,127.2752815,0.001246507098,0.001246510032324838,2.70894e-06,0.0021732246782285485,0.000770911413,0.6184572960123298,0.000472869403,0.37935556202012627,7e-12,5.615692022562272e-09,1.7341e-08,1.3911673623321765e-05,0.6206305206905584,0.37936947930944165,0.0021732246782285485,0.9978267753217714
m4-v1,b01,97,1,False,1,0.5,127.2752815,0.001632040808,0.0016320445987558665,3.546792e-06,0.0021732250624952815,0.001009347551,0.61845729735531,0.00061912376,0.3793555618762853,8e-12,4.901838196308735e-09,2.2703e-08,1.3910804071349653e-05,0.6206305224178051,0.37936947758219486,0.0021732250624952815,0.9978267749375047
m4-v1,b01,101,1,False,1,0.5,127.2752815,0.001292533419,0.0012925364405592383,2.808966e-06,0.002173225035032866,0.000799376728,0.6184572962834928,0.000490329744,0.379355561826685,7e-12,5.415720676302262e-09,1.7981e-08,1.3911439068655854e-05,0.6206305213185257,0.3793694786814743,0.002173225035032866,0.9978267749649672
m4-v1,b01,103,1,False,1,0.5,127.2752815,0.001230400109,0.0012304029700849477,2.673936e-06,0.002173224762602347,0.000760949929,0.6184572962117634,0.000466759127,0.37935556160171885,7e-12,5.689206225660011e-09,1.7117e-08,1.3911734709231773e-05,0.6206305209743657,0.37936947902563434,0.002173224762602347,0.9978267752373976
m4-v1,b01,107,1,False,1,0.5,127.2752815,0.001429560968,0.0014295643487136417,3.106758e-06,0.002173225246424501,0.000884122415,0.6184572963867156,0.000542311907,0.3793555622063309,7e-12,4.896608208612164e-09,1.9887e-08,1.3911263920667157e-05,0.6206305216331401,0.37936947836685986,0.002173225246424501,0.9978267747535755
m4-v1,b01,109,1,False,1,0.5,127.2752815,0.001703895584,0.0017038995710306753,3.702948e-06,0.0021732247103239464,0.001053786661,0.6184572970225247,0.000646382269,0.3793555619214907,9e-12,5.2820137881805296e-09,2.3703e-08,1.3911063646804789e-05,0.6206305217328487,0.3793694782671513,0.0021732247103239464,0.997826775289676
m4-v1,b01,113,1,False,1,0.5,127.2752815,0.001226530686,0.0012265335578278203,2.665527e-06,0.0021732248652337636,0.000758556856,0.6184572961192093,0.00046529124,0.37935556171198076,7e-12,5.707154366335943e-09,1.7063e-08,1.391159642182717e-05,0.620630520984443,0.37936947901555695,0.0021732248652337636,0.9978267751347663
m4-v1,b01,11,2,False,1,0.5,127.2752815,0.002618643506,0.0026186497457023517,5.6909e-06,0.002173224410308059,0.00161951919,0.6184572979090012,0.000993396982,0.37935556246090346,1.2e-11,4.582525246217067e-09,3.6427e-08,1.3910637261995757e-05,0.6206305223193093,0.37936947768069074,0.002173224410308059,0.9978267755896919
m4-v1,b01,5,3,False,1,0.5,127.2752815,0.005191942907,0.005191954997608666,1.1283256e-05,0.0021732242031683524,0.003210994987,0.6184572983189116,0.001969592425,0.3793555626484987,2.3e-11,4.429940849775287e-09,7.2222e-08,1.3910399480542208e-05,0.62063052252208,0.37936947747792005,0.0021732242031683524,0.9978267757968317
