versao,bloco,p,r,eligible,total_densidade_sup,certificado_densidade,lin_rel_sup,resto_rel_sup,borda_rel_sup,total_ordenadas_sup,certificado
m4-v1,b02,2,5,False,0.000001163847666,False,0.000000414775558,0.000000000000020,0.000000000000002,0.000001578623242,False
m4-v1,b02,37,1,True,0.000000291071025,True,0.000000090099462,0.000000000000006,0.000000000000002,0.000000381170491,True
m4-v1,b02,41,1,True,0.000000293343349,True,0.000000094704137,0.000000000000006,0.000000000000002,0.000000388047490,True
m4-v1,b02,43,1,True,0.000000264171920,True,0.000000096432547,0.000000000000006,0.000000000000002,0.000000360604472,True
m4-v1,b02,47,1,True,0.000000325617730,True,0.000000104803674,0.000000000000007,0.000000000000002,0.000000430421409,True
m4-v1,b02,7,2,False,0.000000520594025,True,0.000000208615160,0.000000000000010,0.000000000000002,0.000000729209193,True
m4-v1,b02,53,1,True,0.000000332586251,True,0.000000106740367,0.000000000000007,0.000000000000002,0.000000439326623,True
m4-v1,b02,59,1,False,0.000000282923090,True,0.000000113188843,0.000000000000006,0.000000000000002,0.000000396111937,True
m4-v1,b02,61,1,False,0.000000274935730,True,0.000000115256601,0.000000000000006,0.000000000000002,0.000000390192335,True
m4-v1,b02,2,6,False,0.000002126867408,False,0.000000692217062,0.000000000000035,0.000000000000002,0.000002819084504,False
m4-v1,b02,67,1,False,0.000000298546207,True,0.000000123589477,0.000000000000006,0.000000000000002,0.000000422135688,True
m4-v1,b02,71,1,False,0.000000306030420,True,0.000000124299203,0.000000000000006,0.000000000000002,0.000000430329628,True
m4-v1,b02,73,1,False,0.000000315778899,True,0.000000124516743,0.000000000000006,0.000000000000002,0.000000440295647,True
m4-v1,b02,79,1,False,0.000000282472693,True,0.000000131641760,0.000000000000006,0.000000000000002,0.000000414114457,True
m4-v1,b02,3,4,False,0.000001262521839,False,0.000000512275584,0.000000000000021,0.000000000000002,0.000001774797443,False
m4-v1,b02,83,1,False,0.000000384072473,True,0.000000135185265,0.000000000000007,0.000000000000002,0.000000519257744,True
m4-v1,b02,89,1,False,0.000000323261386,True,0.000000135422672,0.000000000000006,0.000000000000002,0.000000458684063,True
m4-v1,b02,97,1,False,0.000000409886564,True,0.000000145394250,0.000000000000008,0.000000000000002,0.000000555280820,True
m4-v1,b02,101,1,False,0.000000333198909,True,0.000000150168766,0.000000000000006,0.000000000000002,0.000000483367680,True
m4-v1,b02,103,1,False,0.000000373127986,True,0.000000147699186,0.000000000000007,0.000000000000002,0.000000520827177,True
m4-v1,b02,107,1,False,0.000000434087112,True,0.000000152415005,0.000000000000008,0.000000000000002,0.000000586502123,True
m4-v1,b02,109,1,False,0.000000409252715,True,0.000000154484349,0.000000000000008,0.000000000000002,0.000000563737070,True
m4-v1,b02,113,1,False,0.000000365823102,True,0.000000160749695,0.000000000000007,0.000000000000002,0.000000526572802,True
m4-v1,b02,11,2,False,0.000000940028062,True,0.000000326872536,0.000000000000014,0.000000000000002,0.000001266900610,False
m4-v1,b02,5,3,False,0.000001565661443,False,0.000000491289568,0.000000000000021,0.000000000000002,0.000002056951031,False
m4-v1,b02,127,1,False,0.000000513746815,True,0.000000162297058,0.000000000000007,0.000000000000002,0.000000676043878,True
m4-v1,b02,2,7,False,0.000003702730688,False,0.000001163358283,0.000000000000041,0.000000000000002,0.000004866089010,False
m4-v1,b02,131,1,False,0.000000577866974,True,0.000000169272483,0.000000000000007,0.000000000000002,0.000000747139462,True
m4-v1,b02,137,1,False,0.000001226497421,False,0.000000172794313,0.000000000000008,0.000000000000002,0.000001399291741,False
m4-v1,b02,139,1,False,0.000001170448506,False,0.000000172273588,0.000000000000008,0.000000000000002,0.000001342722100,False
m4-v1,b03,2,1,True,0.000000367529065,True,0.000000021894500,0.000000000000007,0.000000000000002,0.000000389423570,True
m4-v1,b03,3,1,True,0.000000290623177,True,0.000000026889206,0.000000000000006,0.000000000000002,0.000000317512387,True
m4-v1,b03,2,2,False,0.000000536552809,True,0.000000061008362,0.000000000000010,0.000000000000002,0.000000597561179,True
m4-v1,b03,5,1,True,0.000000242741054,True,0.000000034507021,0.000000000000005,0.000000000000002,0.000000277248079,True
m4-v1,b03,7,1,True,0.000000222037469,True,0.000000040605277,0.000000000000005,0.000000000000002,0.000000262642749,True
m4-v1,b03,2,3,False,0.000000610472415,True,0.000000128549955,0.000000000000011,0.000000000000002,0.000000739022379,True
m4-v1,b03,3,2,False,0.000000486308451,True,0.000000091241088,0.000000000000009,0.000000000000002,0.000000577549547,True
m4-v1,b03,11,1,True,0.000000251952707,True,0.000000050613274,0.000000000000005,0.000000000000002,0.000000302565985,True
m4-v1,b03,13,1,True,0.000000202960133,True,0.000000055131691,0.000000000000005,0.000000000000002,0.000000258091827,True
m4-v1,b03,2,4,False,0.000000995771057,True,0.000000242276279,0.000000000000017,0.000000000000002,0.000001238047351,False
m4-v1,b03,17,1,True,0.000000238020374,True,0.000000062521311,0.000000000000005,0.000000000000002,0.000000300541689,True
m4-v1,b03,19,1,True,0.000000275900073,True,0.000000066244860,0.000000000000006,0.000000000000002,0.000000342144938,True
m4-v1,b03,23,1,True,0.000000276420110,True,0.000000072556848,0.000000000000006,0.000000000000002,0.000000348976962,True
m4-v1,b03,5,2,False,0.000000591695206,True,0.000000150440021,0.000000000000011,0.000000000000002,0.000000742135236,True
m4-v1,b03,3,3,False,0.000000713339324,True,0.000000237957936,0.000000000000013,0.000000000000002,0.000000951297271,True
m4-v1,b03,29,1,True,0.000000301761374,True,0.000000082333925,0.000000000000006,0.000000000000002,0.000000384095304,True
m4-v1,b03,31,1,True,0.000000235712061,True,0.000000083932474,0.000000000000005,0.000000000000002,0.000000319644538,True
m4-v1,b03,2,5,False,0.000001554966567,False,0.000000418576881,0.000000000000026,0.000000000000002,0.000001973543472,False
m4-v1,b03,37,1,True,0.000000314997360,True,0.000000090977855,0.000000000000006,0.000000000000002,0.000000405975220,True
m4-v1,b03,41,1,True,0.000000328758106,True,0.000000096528524,0.000000000000007,0.000000000000002,0.000000425286635,True
m4-v1,b03,43,1,True,0.000000320873526,True,0.000000098841983,0.000000000000006,0.000000000000002,0.000000419715514,True
m4-v1,b03,47,1,True,0.000000337964836,True,0.000000102962490,0.000000000000007,0.000000000000002,0.000000440927331,True
