versao,bloco,p,r,T,c,resolved,clearly_detectable,eligible,margin,e_rec,escala_suficiente_F,tau,e_lin_U5.5,d_U5.5,e_lin_U6.0,d_U6.0,e_lin_U7.0,d_U7.0,e_lin_U8.0,d_U8.0,e_lin_U10.0,d_U10.0
m4-v1,b08,3,4,np.float64(4.394449154672439),np.float64(-0.03885546139622887),True,False,False,0.20646038762601632,-1.9246991778132383e-09,np.float64(1.3343408067939024e-05),1e-06,-1.441101707177732e-09,-4.835974706355063e-10,-3.6745216551360227e-09,1.7498224773227844e-09,-3.4122738529225485e-09,1.4875746751093102e-09,-3.4652802195936144e-09,1.5405810417803761e-09,-3.4941087322806556e-09,1.5694095544674173e-09
m4-v1,b08,83,1,np.float64(4.418840607796598),np.float64(-0.15439008898017337),True,False,False,0.8186777900632097,-1.7489187875696643e-10,np.float64(5.1177129044446876e-05),1e-06,-1.1140227689696026e-09,9.391308902126362e-10,-9.719856582915037e-10,7.970937795345373e-10,-1.057429801232256e-09,8.825379224752896e-10,-1.084632301205596e-09,9.097404224486296e-10,-1.0794446646529164e-09,9.0455278589595e-10
m4-v1,b08,89,1,np.float64(4.48863636973214),np.float64(-0.15145009428891956),True,False,False,0.7957072118054475,1.7569825594421218e-09,np.float64(5.563706244578418e-05),1e-06,2.7052667114542647e-09,-9.48284152012143e-10,2.223867433583926e-09,-4.668848741418041e-10,2.3379255761637007e-09,-5.809430167215789e-10,2.349643078470855e-09,-5.926605190287334e-10,2.3406485247082486e-09,-5.836659652661268e-10
m4-v1,b08,97,1,np.float64(4.574710978503383),np.float64(-0.14785224441209735),True,False,False,0.7660159013067391,3.588429775547297e-09,np.float64(4.894236181780347e-05),1e-06,3.1493560410435604e-09,4.390737345037367e-10,2.3315044685714317e-09,1.2569253069758654e-09,2.718710832952167e-09,8.697189425951303e-10,2.684096501298615e-09,9.043332742486823e-10,2.6701253617159487e-09,9.183044138313484e-10
m4-v1,b08,101,1,np.float64(4.61512051684126),np.float64(-0.14617479278578105),True,False,False,0.7575937228798484,1.5772230188559888e-09,np.float64(5.148938386861486e-05),1e-06,1.2656861676389746e-09,3.1153685121701426e-10,6.30797817766721e-11,1.5141432370793167e-09,6.542312046683746e-11,1.5117998983891514e-09,3.549634022012941e-11,1.5417266786358593e-09,2.630703389771247e-11,1.5509159849582762e-09
m4-v1,b08,103,1,np.float64(4.634728988229636),np.float64(-0.145363663339395),True,False,False,0.7503983049660229,6.848324130004357e-10,np.float64(5.337394311770822e-05),1e-06,-1.1330383551471961e-10,7.981362485151553e-10,-2.413154154494847e-11,7.089639545453842e-10,9.599254601504809e-11,5.888398669853877e-10,3.198814292897824e-11,6.528442700714575e-10,3.3945647423237504e-11,6.508867655771982e-10
m4-v1,b08,107,1,np.float64(4.672828834461906),np.float64(-0.14379312149769535),True,False,False,0.7288094601420855,1.351169620633641e-09,np.float64(4.700819384712878e-05),1e-06,3.8209089673986646e-09,-2.4697393467650236e-09,2.8940063312142585e-09,-1.5428367105806176e-09,3.3362698189099916e-09,-1.9851001982763506e-09,3.3186314084601677e-09,-1.9674617878265268e-09,3.304390573351646e-09,-1.953220952718005e-09
m4-v1,b08,109,1,np.float64(4.6913478822291435),np.float64(-0.14303243005044233),True,False,False,0.7220169241829961,1.0041413700534463e-08,np.float64(5.1849637646743076e-05),1e-06,9.350824129612109e-09,6.905895709223541e-10,8.503364877679384e-09,1.538048822855079e-09,8.908200833522527e-09,1.1332128670119356e-09,8.818970440778775e-09,1.2224432597556879e-09,8.80988803219416e-09,1.2315256683403024e-09
m4-v1,b08,113,1,np.float64(4.727387818712341),np.float64(-0.14155725660115417),True,False,False,0.7005096403351382,8.078050006687931e-09,np.float64(5.139352041366368e-05),1e-06,9.165663661469255e-09,-1.0876136547813236e-09,8.71101737055248e-09,-6.329673638645481e-10,9.030067086726083e-09,-9.520170800381512e-10,8.940139712504386e-09,-8.620897058164547e-10,8.93644681541751e-09,-8.583968087295787e-10
m4-v1,b08,11,2,np.float64(4.795790545596741),np.float64(-0.06938852466955447),True,False,False,0.34435902018586806,1.3355236405665494e-07,np.float64(2.2568690670304848e-05),1e-06,1.3699878958417456e-07,-3.4464255275196222e-09,1.3403528999831826e-07,-4.829259416633202e-10,1.3371592608125055e-07,-1.6356202459561335e-10,1.3363318023431277e-07,-8.081617765783528e-11,1.336211832423752e-07,-6.881918572026273e-11
