versao,bloco,p,r,eligible,total_contaminacao_sup,certificado_contaminacao,extra_rhoDelta_rel_sup,total_densidade_sup,certificado
m4-v1,b02,61,1,False,0.000000248844593,True,0.000000026091137,0.000000274935730,True
m4-v1,b02,67,1,False,0.000000270323027,True,0.000000028223180,0.000000298546207,True
m4-v1,b02,7,1,True,0.000000222032995,True,0.000000023898175,0.000000245931170,True
m4-v1,b02,7,2,False,0.000000470972297,True,0.000000049621728,0.000000520594025,True
m4-v1,b02,71,1,False,0.000000277383556,True,0.000000028646864,0.000000306030420,True
m4-v1,b02,73,1,False,0.000000285985909,True,0.000000029792990,0.000000315778899,True
m4-v1,b02,79,1,False,0.000000256160613,True,0.000000026312080,0.000000282472693,True
m4-v1,b02,83,1,False,0.000000347790526,True,0.000000036281947,0.000000384072473,True
m4-v1,b02,89,1,False,0.000000293511900,True,0.000000029749486,0.000000323261386,True
m4-v1,b02,97,1,False,0.000000372073419,True,0.000000037813145,0.000000409886564,True
m4-v1,b03,101,1,False,0.000000374549381,True,0.000000023592531,0.000000398141912,True
m4-v1,b03,103,1,False,0.000000380942436,True,0.000000024327607,0.000000405270043,True
m4-v1,b03,107,1,False,0.000000429716458,True,0.000000026704940,0.000000456421398,True
m4-v1,b03,109,1,False,0.000000356533411,True,0.000000022278815,0.000000378812226,True
m4-v1,b03,11,1,True,0.000000235617427,True,0.000000016335280,0.000000251952707,True
m4-v1,b03,11,2,False,0.000001032015309,False,0.000000054708836,0.000001086724145,False
m4-v1,b03,113,1,False,0.000000408326799,True,0.000000025304841,0.000000433631640,True
m4-v1,b03,127,1,False,0.000000379979543,True,0.000000020973933,0.000000400953476,True
m4-v1,b03,13,1,True,0.000000189853408,True,0.000000013106725,0.000000202960133,True
m4-v1,b03,131,1,False,0.000000609019644,True,0.000000022625888,0.000000631645532,True
m4-v1,b03,137,1,False,0.000000730884581,True,0.000000028577654,0.000000759462235,True
m4-v1,b03,139,1,False,0.000002525872539,False,0.000000026922915,0.000002552795454,False
m4-v1,b03,17,1,True,0.000000222655279,True,0.000000015365095,0.000000238020374,True
m4-v1,b03,19,1,True,0.000000258066697,True,0.000000017833376,0.000000275900073,True
m4-v1,b03,2,1,True,0.000000343645498,True,0.000000023883567,0.000000367529065,True
m4-v1,b03,2,2,False,0.000000501714886,True,0.000000034837923,0.000000536552809,True
m4-v1,b03,2,3,False,0.000000570913787,True,0.000000039558628,0.000000610472415,True
m4-v1,b03,2,4,False,0.000000931407344,True,0.000000064363713,0.000000995771057,True
m4-v1,b03,2,5,False,0.000001454969713,False,0.000000099996854,0.000001554966567,False
m4-v1,b03,2,6,False,0.000001800276146,False,0.000000121904653,0.000001922180799,False
m4-v1,b03,2,7,False,0.000003037935313,False,0.000000172775021,0.000003210710334,False
m4-v1,b03,23,1,True,0.000000258574821,True,0.000000017845289,0.000000276420110,True
m4-v1,b03,29,1,True,0.000000282270508,True,0.000000019490866,0.000000301761374,True
m4-v1,b03,3,1,True,0.000000271745760,True,0.000000018877417,0.000000290623177,True
m4-v1,b03,3,2,False,0.000000454802430,True,0.000000031506021,0.000000486308451,True
m4-v1,b03,3,3,False,0.000000667430796,True,0.000000045908528,0.000000713339324,True
m4-v1,b03,3,4,False,0.000001492714847,False,0.000000100143168,0.000001592858015,False
m4-v1,b03,31,1,True,0.000000220670452,True,0.000000015041609,0.000000235712061,True
m4-v1,b03,37,1,True,0.000000294794446,True,0.000000020202914,0.000000314997360,True
m4-v1,b03,41,1,True,0.000000307648982,True,0.000000021109124,0.000000328758106,True
m4-v1,b03,43,1,True,0.000000300302171,True,0.000000020571355,0.000000320873526,True
m4-v1,b03,47,1,True,0.000000316334111,True,0.000000021630725,0.000000337964836,True
m4-v1,b03,5,1,True,0.000000226988275,True,0.000000015752779,0.000000242741054,True
m4-v1,b03,5,2,False,0.000000553583111,True,0.000000038112095,0.000000591695206,True
m4-v1,b03,5,3,False,0.000001360945187,False,0.000000078777232,0.000001439722419,False
m4-v1,b03,53,1,True,0.000000319599810,True,0.000000021830370,0.000000341430180,True
m4-v1,b03,59,1,False,0.000000337829433,True,0.000000023033173,0.000000360862606,True
m4-v1,b03,61,1,False,0.000000297689749,True,0.000000020100036,0.000000317789785,True
m4-v1,b03,67,1,False,0.000000265814437,True,0.000000017813508,0.000000283627945,True
m4-v1,b03,7,1,True,0.000000207639413,True,0.000000014398056,0.000000222037469,True
m4-v1,b03,7,2,False,0.000000621448570,True,0.000000042498913,0.000000663947483,True
m4-v1,b03,71,1,False,0.000000344523528,True,0.000000023134966,0.000000367658494,True
m4-v1,b03,73,1,False,0.000000356153212,True,0.000000024037062,0.000000380190274,True
m4-v1,b03,79,1,False,0.000000298434005,True,0.000000019826196,0.000000318260201,True
m4-v1,b03,83,1,False,0.000000356192636,True,0.000000023610759,0.000000379803395,True
m4-v1,b03,89,1,False,0.000000307673764,True,0.000000020406224,0.000000328079988,True
m4-v1,b03,97,1,False,0.000000356386075,True,0.000000023414246,0.000000379800321,True
m4-v1,b04,101,1,False,0.000000433191218,True,0.000000019588455,0.000000452779673,True
m4-v1,b04,103,1,False,0.000000447704379,True,0.000000019863192,0.000000467567571,True
m4-v1,b04,107,1,False,0.000000427567669,True,0.000000018904362,0.000000446472031,True
m4-v1,b04,109,1,False,0.000000370231456,True,0.000000016017764,0.000000386249220,True
m4-v1,b04,11,1,True,0.000000197174574,True,0.000000009438829,0.000000206613403,True
m4-v1,b04,11,2,False,0.000000809479515,True,0.000000033008875,0.000000842488390,True
m4-v1,b04,113,1,False,0.000000397131474,True,0.000000016146053,0.000000413277527,True
m4-v1,b04,127,1,False,0.000000403680412,True,0.000000016447834,0.000000420128246,True
m4-v1,b04,13,1,True,0.000000257023162,True,0.000000012357021,0.000000269380183,True
m4-v1,b04,131,1,False,0.000000557981639,True,0.000000017047880,0.000000575029519,True
m4-v1,b04,137,1,False,0.000001567815324,False,0.000000021636795,0.000001589452119,False
m4-v1,b04,139,1,False,0.000000991209655,True,0.000000021253992,0.000001012463647,False
m4-v1,b04,17,1,True,0.000000256560581,True,0.000000012317480,0.000000268878061,True
m4-v1,b04,19,1,True,0.000000265358412,True,0.000000012719649,0.000000278078061,True
m4-v1,b04,2,1,True,0.000000381362754,True,0.000000018427477,0.000000399790231,True
m4-v1,b04,2,2,False,0.000000461309671,True,0.000000022199115,0.000000483508786,True
m4-v1,b04,2,3,False,0.000000727700490,True,0.000000035014060,0.000000762714550,True
m4-v1,b04,2,4,False,0.000001030351822,False,0.000000049492413,0.000001079844235,False
m4-v1,b04,2,5,False,0.000001323710416,False,0.000000062857156,0.000001386567572,False
m4-v1,b04,2,6,False,0.000002217170559,False,0.000000104235469,0.000002321406028,False
m4-v1,b04,2,7,False,0.000002771696404,False,0.000000106828902,0.000002878525306,False
m4-v1,b04,23,1,True,0.000000240151697,True,0.000000011445985,0.000000251597682,True
m4-v1,b04,29,1,True,0.000000279991081,True,0.000000013357939,0.000000293349020,True
m4-v1,b04,3,1,True,0.000000288546131,True,0.000000013930260,0.000000302476391,True
m4-v1,b04,3,2,False,0.000000490569672,True,0.000000023617990,0.000000514187662,True
m4-v1,b04,3,3,False,0.000000685873259,True,0.000000032613550,0.000000718486809,True
m4-v1,b04,3,4,False,0.000001588851003,False,0.000000073551361,0.000001662402364,False
m4-v1,b04,31,1,True,0.000000307562127,True,0.000000014736562,0.000000322298689,True
m4-v1,b04,37,1,True,0.000000271806435,True,0.000000012881364,0.000000284687799,True
m4-v1,b04,41,1,True,0.000000242088935,True,0.000000011384346,0.000000253473281,True
m4-v1,b04,43,1,True,0.000000242435299,True,0.000000011378904,0.000000253814203,True
m4-v1,b04,47,1,True,0.000000256957165,True,0.000000012113644,0.000000269070809,True
m4-v1,b04,5,1,True,0.000000216648185,True,0.000000010438592,0.000000227086777,True
m4-v1,b04,5,2,False,0.000000541882583,True,0.000000025897261,0.000000567779844,True
m4-v1,b04,5,3,False,0.000001585499675,False,0.000000061700883,0.000001647200558,False
m4-v1,b04,53,1,True,0.000000283589152,True,0.000000013303870,0.000000296893022,True
m4-v1,b04,59,1,False,0.000000317640384,True,0.000000014964963,0.000000332605347,True
m4-v1,b04,61,1,False,0.000000294491801,True,0.000000013824294,0.000000308316095,True
m4-v1,b04,67,1,False,0.000000345361390,True,0.000000016196750,0.000000361558140,True
m4-v1,b04,7,1,True,0.000000192132712,True,0.000000009215736,0.000000201348448,True
m4-v1,b04,7,2,False,0.000000544732636,True,0.000000025571197,0.000000570303833,True
m4-v1,b04,71,1,False,0.000000334532057,True,0.000000015620810,0.000000350152867,True
m4-v1,b04,73,1,False,0.000000322455931,True,0.000000015031050,0.000000337486981,True
m4-v1,b04,79,1,False,0.000000302864932,True,0.000000013895822,0.000000316760754,True
m4-v1,b04,83,1,False,0.000000388949943,True,0.000000018011959,0.000000406961902,True
m4-v1,b04,89,1,False,0.000000352605601,True,0.000000016005030,0.000000368610631,True
m4-v1,b04,97,1,False,0.000000362086347,True,0.000000016192515,0.000000378278862,True
m4-v1,b05,101,1,False,0.000000417062111,True,0.000000013677941,0.000000430740052,True
m4-v1,b05,103,1,False,0.000000463389301,True,0.000000015219095,0.000000478608396,True
m4-v1,b05,107,1,False,0.000000477203471,True,0.000000015296726,0.000000492500197,True
m4-v1,b05,109,1,False,0.000000483828692,True,0.000000015433666,0.000000499262358,True
m4-v1,b05,11,1,True,0.000000269536185,True,0.000000009498311,0.000000279034496,True
m4-v1,b05,11,2,False,0.000001021897514,False,0.000000030306390,0.000001052203904,False
m4-v1,b05,113,1,False,0.000000498243915,True,0.000000015539154,0.000000513783069,True
m4-v1,b05,127,1,False,0.000000600989827,True,0.000000016660592,0.000000617650419,True
m4-v1,b05,13,1,True,0.000000277403304,True,0.000000009790228,0.000000287193532,True
m4-v1,b05,131,1,False,0.000000709442407,True,0.000000015313944,0.000000724756351,True
m4-v1,b05,137,1,False,0.000000693206185,True,0.000000014760083,0.000000707966268,True
m4-v1,b05,139,1,False,0.000001136888686,False,0.000000013427240,0.000001150315926,False
m4-v1,b05,17,1,True,0.000000290077678,True,0.000000010188965,0.000000300266643,True
m4-v1,b05,19,1,True,0.000000256064976,True,0.000000008976697,0.000000265041673,True
m4-v1,b05,2,1,True,0.000000399862013,True,0.000000014135453,0.000000413997466,True
m4-v1,b05,2,2,False,0.000000519776565,True,0.000000018357962,0.000000538134527,True
m4-v1,b05,2,3,False,0.000000707343270,True,0.000000024934796,0.000000732278066,True
m4-v1,b05,2,4,False,0.000001149480602,False,0.000000040402625,0.000001189883227,False
m4-v1,b05,2,5,False,0.000001251857182,False,0.000000043619480,0.000001295476662,False
m4-v1,b05,2,6,False,0.000002283945134,False,0.000000078647841,0.000002362592975,False
m4-v1,b05,2,7,False,0.000004290366530,False,0.000000109242948,0.000004399609478,False
m4-v1,b05,23,1,True,0.000000291146833,True,0.000000010222338,0.000000301369171,True
m4-v1,b05,29,1,True,0.000000288678598,True,0.000000010096025,0.000000298774623,True
m4-v1,b05,3,1,True,0.000000313675229,True,0.000000011085617,0.000000324760846,True
m4-v1,b05,3,2,False,0.000000401371213,True,0.000000014088889,0.000000415460102,True
m4-v1,b05,3,3,False,0.000000945586805,True,0.000000033209251,0.000000978796056,True
m4-v1,b05,3,4,False,0.000001307973717,False,0.000000043763211,0.000001351736928,False
m4-v1,b05,31,1,True,0.000000248997706,True,0.000000008643067,0.000000257640773,True
m4-v1,b05,37,1,True,0.000000328908914,True,0.000000011497123,0.000000340406037,True
m4-v1,b05,41,1,True,0.000000336372163,True,0.000000011737012,0.000000348109175,True
m4-v1,b05,43,1,True,0.000000329176115,True,0.000000011463683,0.000000340639798,True
m4-v1,b05,47,1,True,0.000000355886673,True,0.000000012406671,0.000000368293344,True
m4-v1,b05,5,1,True,0.000000241453981,True,0.000000008523779,0.000000249977760,True
m4-v1,b05,5,2,False,0.000000604991372,True,0.000000021242441,0.000000626233813,True
m4-v1,b05,5,3,False,0.000001698114758,False,0.000000048913366,0.000001747028124,False
m4-v1,b05,53,1,True,0.000000333835940,True,0.000000011526201,0.000000345362141,True
m4-v1,b05,59,1,False,0.000000382991427,True,0.000000013221612,0.000000396213039,True
m4-v1,b05,61,1,False,0.000000384829610,True,0.000000013326681,0.000000398156291,True
m4-v1,b05,67,1,False,0.000000384218113,True,0.000000013198499,0.000000397416612,True
m4-v1,b05,7,1,True,0.000000263328646,True,0.000000009295961,0.000000272624607,True
m4-v1,b05,7,2,False,0.000000693161761,True,0.000000024075817,0.000000717237578,True
m4-v1,b05,71,1,False,0.000000368023995,True,0.000000012563581,0.000000380587576,True
m4-v1,b05,73,1,False,0.000000383436804,True,0.000000013154543,0.000000396591347,True
m4-v1,b05,79,1,False,0.000000378006733,True,0.000000012855365,0.000000390862098,True
