versao,bloco,p,r,eligible,d1,Delta,U1,U2,n_termos,abs_c,theta,err_num_est,S_abs,theta_rel,margem,margem_rel,B_rel_sup,orcamento_rel,orcamento_rel_com_err
m4-v1,b01,5,3,False,1,0.5,6.0,6.5,45,0.04582150488104508,-4.976612547897726e-12,7.170073790194762e-20,7.170067657293927e-11,-1.0860866662535987e-10,4.581652826849718e-08,9.998913913333745e-07,0.005191954889,0.005191954997608666,0.005191954997608668
m4-v1,b01,127,1,False,1,0.5,6.0,6.5,45,0.13682617124428062,7.258243129105466e-12,5.965313877120458e-20,5.965308099507441e-11,5.3047184344192945e-11,1.3681891300115152e-07,9.999469528156557e-07,0.00162243538,0.0016224354330471842,0.0016224354330471847
m4-v1,b01,2,7,False,1,0.5,6.0,6.5,45,0.01950161612988795,-1.0360606057955792e-11,6.816479176912697e-20,6.816473006571906e-11,-5.312691004145676e-10,1.9491255523829994e-08,9.994687308995854e-07,0.011155068072,0.0111550686032691,0.011155068603269104
m4-v1,b01,131,1,False,1,0.5,6.0,6.5,45,0.1355834491603077,-2.1470619598874098e-13,7.078473788208384e-20,7.078468227865597e-11,-1.5835723115059725e-12,1.355832344541117e-07,9.999984164276885e-07,0.001445221984,0.0014452219855835722,0.0014452219855835729
m4-v1,b01,137,1,False,1,0.5,6.0,6.5,45,0.13379912176069506,-1.4494120477863427e-11,1.0091225068380493e-19,1.0091218227242176e-10,-1.0832747096641432e-10,1.3378462764021717e-07,9.998916725290335e-07,0.001781246791,0.001781246899327471,0.0017812468993274719
m4-v1,b01,139,1,False,1,0.5,6.0,6.5,45,0.13322434272608064,-2.721409641115991e-12,8.548194112522665e-20,8.54818596492569e-11,-2.042727016271655e-11,1.3322162131643952e-07,9.999795727298372e-07,0.001818058569,0.00181805858942727,0.0018180585894272707
m4-v1,b01,2,1,True,1,1,6.0,7.0,111,0.1560129290391036,-1.611283355897875e-13,2.0186807717788433e-21,2.018679276578861e-12,-1.0327883501847577e-12,1.5601276791076803e-07,9.999989672116497e-07,0.000739710624,0.0007397106250327883,0.0007397106250327883
m4-v1,b01,3,1,True,1,1,6.0,7.0,111,0.20189889986939866,1.30879704183355e-13,1.9375526788483504e-21,1.9375508757504237e-12,6.482437708576743e-13,2.0189876898969445e-07,9.999993517562291e-07,0.000590965523,0.0005909655236482437,0.0005909655236482438
m4-v1,b01,2,2,False,1,1,6.0,7.0,111,0.1103178000763258,-7.468182565798515e-13,4.736483402944081e-21,4.736479459929174e-12,-6.769698598622787e-12,1.1031705325806921e-07,9.999932303014014e-07,0.001084385407,0.0010843854137696986,0.0010843854137696988
m4-v1,b01,5,1,True,1,1,6.0,7.0,111,0.22910752440522542,-3.563087230648674e-13,4.2296582800900654e-21,4.229654270387678e-12,-1.5552030601782402e-12,2.2910716809650235e-07,9.999984447969399e-07,0.0006183413,0.000618341301555203,0.0006183413015552031
m4-v1,b01,7,1,True,1,1,6.0,7.0,111,0.23411211608563706,-6.107086617439371e-13,5.697226998155546e-21,5.697221747130339e-12,-2.6086162132699824e-12,2.341115053769753e-07,9.999973913837867e-07,0.000527769721,0.0005277697236086163,0.0005277697236086163
m4-v1,b01,2,3,False,1,1,6.0,7.0,111,0.0780064645195518,4.802117388658952e-13,7.128113732013171e-21,7.128108059416822e-12,6.156050550727541e-12,7.800598430781294e-08,9.999938439494491e-07,0.00158516274,0.0015851627461560506,0.0015851627461560508
