versao,bloco,p,r,eligible,d1,Delta,a_l1,abs_c,zeros_rel_sup,polos_rel_sup,arq_rel_sup,B_rel_sup,B_rel_sup_str
m4-v1,b01,19,1,True,1,2,0.002733932013648283,0.21501852841127717,0.000589243565,1.284e-09,1.257e-09,0.000589246102,0.000589246102
m4-v1,b01,19,1,True,2,0.5,0.002733932013648283,0.21501852841127717,0.000100533223,2.29e-10,1.92e-10,0.000100533641,0.000100533641
m4-v1,b01,19,1,True,2,1,0.002733932013648283,0.21501852841127717,6.9766737e-05,2.19e-10,1.92e-10,6.9767145e-05,0.000069767145
m4-v1,b01,19,1,True,2,2,0.002733932013648283,0.21501852841127717,4.4470431e-05,2.11e-10,1.92e-10,4.4470831e-05,0.000044470831
m4-v1,b01,19,1,True,4,0.5,0.002733932013648283,0.21501852841127717,9.254362e-06,3.6e-11,1.9e-11,9.254415e-06,0.000009254415
m4-v1,b01,19,1,True,4,1,0.002733932013648283,0.21501852841127717,6.519272e-06,3.5e-11,1.9e-11,6.519324e-06,0.000006519324
m4-v1,b01,19,1,True,4,2,0.002733932013648283,0.21501852841127717,4.596367e-06,3.5e-11,1.9e-11,4.596418e-06,0.000004596418
m4-v1,b01,19,1,True,8,0.5,0.002733932013648283,0.21501852841127717,9.8388e-07,2.1e-11,2e-12,9.839e-07,0.000000983900
m4-v1,b01,19,1,True,8,1,0.002733932013648283,0.21501852841127717,6.41994e-07,2.3e-11,2e-12,6.42016e-07,0.000000642016
m4-v1,b01,19,1,True,8,2,0.002733932013648283,0.21501852841127717,4.71051e-07,2.7e-11,2e-12,4.71077e-07,0.000000471077
m4-v1,b01,23,1,True,1,0.5,0.0024227407141843437,0.20810964733659634,0.001037226301,1.246e-09,1.151e-09,0.001037228694,0.001037228694
m4-v1,b01,23,1,True,1,1,0.0024227407141843437,0.20810964733659634,0.000666647996,1.202e-09,1.151e-09,0.000666650346,0.000666650346
m4-v1,b01,23,1,True,1,2,0.0024227407141843437,0.20810964733659634,0.000539507825,1.175e-09,1.151e-09,0.000539510148,0.000539510148
m4-v1,b01,23,1,True,2,0.5,0.0024227407141843437,0.20810964733659634,9.2047608e-05,2.1e-10,1.76e-10,9.204799e-05,0.000092047990
m4-v1,b01,23,1,True,2,1,0.0024227407141843437,0.20810964733659634,6.3878e-05,2.01e-10,1.76e-10,6.3878374e-05,0.000063878374
m4-v1,b01,23,1,True,2,2,0.0024227407141843437,0.20810964733659634,4.0716856e-05,1.93e-10,1.76e-10,4.0717222e-05,0.000040717222
m4-v1,b01,23,1,True,4,0.5,0.0024227407141843437,0.20810964733659634,8.473238e-06,3.3e-11,1.8e-11,8.473286e-06,0.000008473286
m4-v1,b01,23,1,True,4,1,0.0024227407141843437,0.20810964733659634,5.969006e-06,3.2e-11,1.8e-11,5.969053e-06,0.000005969053
m4-v1,b01,23,1,True,4,2,0.0024227407141843437,0.20810964733659634,4.208406e-06,3.2e-11,1.8e-11,4.208452e-06,0.000004208452
m4-v1,b01,23,1,True,8,0.5,0.0024227407141843437,0.20810964733659634,9.00835e-07,2e-11,2e-12,9.00853e-07,0.000000900853
m4-v1,b01,23,1,True,8,1,0.0024227407141843437,0.20810964733659634,5.87806e-07,2.1e-11,2e-12,5.87826e-07,0.000000587826
m4-v1,b01,23,1,True,8,2,0.0024227407141843437,0.20810964733659634,4.31291e-07,2.5e-11,2e-12,4.31315e-07,0.000000431315
m4-v1,b01,5,2,False,1,0.5,0.0027260452086134658,0.10245999974535523,0.00237048657,2.846e-09,2.628e-09,0.002370492041,0.002370492041
m4-v1,b01,5,2,False,1,1,0.0027260452086134658,0.10245999974535523,0.001523563489,2.745e-09,2.628e-09,0.001523568859,0.001523568859
m4-v1,b01,5,2,False,1,2,0.0027260452086134658,0.10245999974535523,0.001232996165,2.684e-09,2.628e-09,0.001233001475,0.001233001475
m4-v1,b01,5,2,False,2,0.5,0.0027260452086134658,0.10245999974535523,0.000210366451,4.78e-10,3.99e-10,0.000210367325,0.000210367325
m4-v1,b01,5,2,False,2,1,0.0027260452086134658,0.10245999974535523,0.00014598737,4.58e-10,3.99e-10,0.000145988224,0.000145988224
m4-v1,b01,5,2,False,2,2,0.0027260452086134658,0.10245999974535523,9.3054677e-05,4.4e-10,3.99e-10,9.3055514e-05,0.000093055514
