peak_index,period_candidate,fwhm,amplitude_real,amplitude_imag,modulus,phase_rad,prominence,snr
18921,2.910490,0.001385,500.218500,-2.562403,500.225063,-0.005123,477.984984,3.985821
31699,4.538467,0.001402,497.394520,-0.604304,497.394887,-0.001215,477.974302,3.963270
27240,3.970395,0.001309,291.829418,-383.627381,482.010765,-0.920476,477.905879,3.840689
15709,2.501398,0.001470,-488.030060,-1.356343,488.031945,-3.138813,477.145002,3.888666
22004,3.303265,0.001721,499.380438,-1.209451,499.381903,-0.002422,476.947109,3.979103
35000,4.959075,0.001165,-495.091108,-2.455144,495.097196,-3.136634,472.349317,3.944962
28375,4.115026,0.001726,-488.169536,-0.241437,488.169595,-3.141098,471.254055,3.889763
25388,3.734471,0.001477,481.566914,1.155997,481.568302,0.002400,471.215804,3.837163
21913,3.291791,0.002836,-502.019809,-0.636326,502.020212,-3.140325,471.154179,4.000125
25458,3.743368,0.001370,-479.430866,-0.248760,479.430930,-3.141074,470.455906,3.820133
9257,1.679312,0.001497,487.642061,-0.723505,487.642598,-0.001484,470.178376,3.885564
28516,4.132982,0.001339,490.023169,1.814456,490.026529,0.003703,469.460619,3.904559
25607,3.762310,0.002505,476.487770,18.193437,476.834978,0.038164,466.223163,3.799448
2813,0.858336,0.001276,-497.853076,1.147438,497.854399,3.139288,466.000012,3.966932
15795,2.512293,0.001285,-477.427133,-1.148766,477.428515,-3.139186,465.275167,3.804177
6032,1.268488,0.001493,-486.399004,-1.453242,486.401174,-3.138605,465.249221,3.875672
28888,4.180309,0.001141,475.776338,-3.466557,475.788967,-0.007286,465.080601,3.791113
34952,4.952936,0.001542,-482.102240,-0.983037,482.103242,-3.139554,463.137328,3.841426
19009,2.921809,0.001334,479.336677,1.678406,479.339615,0.003502,463.068761,3.819405
31416,4.502441,0.003663,-490.575689,-0.977991,490.576664,-3.139599,462.192049,3.908942
25182,3.708180,0.001908,489.711990,0.519464,489.712265,0.001061,461.697040,3.902055
28247,4.098740,0.002261,-487.581669,-2.636493,487.588797,-3.136185,460.916547,3.885135
12555,2.099522,0.001352,-467.393640,-0.249116,467.393706,-3.141060,459.930444,3.724219
31668,4.534536,0.001767,-483.219610,-0.780416,483.220240,-3.139978,458.880928,3.850326
31776,4.548344,0.001484,-486.783700,-1.293796,486.785419,-3.138935,458.530098,3.878734
21887,3.288395,0.002136,499.246308,0.448976,499.246509,0.000899,457.483365,3.978024
22289,3.339631,0.001285,469.355885,-0.184479,469.355921,-0.000393,455.873760,3.739854
34606,4.908801,0.002391,476.395487,-1.567982,476.398067,-0.003291,452.854662,3.795967
9331,1.688751,0.001290,475.136323,-0.622787,475.136731,-0.001311,452.329870,3.785916
22469,3.362576,0.001143,-458.626705,0.419923,458.626897,3.140677,451.735639,3.654365
25258,3.717887,0.001414,-481.181653,0.450965,481.181865,3.140655,451.586988,3.834084
6100,1.277113,0.001245,-475.505672,1.414758,475.507776,3.138617,450.397050,3.788873
2828,0.860252,0.001253,484.774564,-1.493570,484.776865,-0.003081,449.862554,3.862729
32420,4.630399,0.001045,-452.940542,-3.793765,452.956429,-3.133217,447.017631,3.609182
12476,2.089446,0.001613,-473.655519,-1.628716,473.658319,-3.138154,446.545343,3.774136
32060,4.584437,0.001264,-460.125985,2.040573,460.130510,3.137158,445.808049,3.666346
2857,0.864022,0.001176,474.102057,1.635557,474.104878,0.003450,445.754301,3.777694
15854,2.519836,0.001259,457.555262,2.286203,457.560973,0.004997,444.962352,3.645872
22330,3.344831,0.001251,462.518226,-0.740321,462.518818,-0.001601,444.771876,3.685376
28690,4.155186,0.001382,-460.392854,-1.927660,460.396890,-3.137406,441.953517,3.668468
19072,2.929773,0.001303,-458.637394,1.416615,458.639582,3.138504,441.383300,3.654466
12611,2.106663,0.001268,458.053884,0.274390,458.053967,0.000599,439.049754,3.649800
25527,3.752171,0.001202,456.185682,1.921668,456.189729,0.004212,438.968747,3.634945
28806,4.169846,0.001161,459.247178,-2.884473,459.256237,-0.006281,438.042569,3.659379
35127,4.975268,0.001181,453.483383,3.264393,453.495132,0.007198,437.529895,3.613475
18985,2.918727,0.001274,-458.806017,-0.332813,458.806138,-3.140867,437.180201,3.655793
28439,4.123093,0.001994,-459.320131,-0.066732,459.320136,-3.141447,437.136774,3.659889
32302,4.615353,0.001739,-409.289295,188.110116,450.447714,2.710783,437.060100,3.589193
22129,3.319272,0.001608,-455.202120,0.176118,455.202154,3.141206,436.033591,3.627076
22264,3.336480,0.001205,-457.118431,-1.126477,457.119819,-3.139128,435.695894,3.642356
6082,1.274897,0.001314,469.954433,0.808639,469.955128,0.001721,435.066706,3.744629
2843,0.862141,0.001201,-477.250212,3.042252,477.259908,3.135218,434.203229,3.802834
18853,2.901903,0.001800,-456.115281,-0.666144,456.115767,-3.140132,432.029021,3.634356
9311,1.686226,0.001360,-466.574572,1.413616,466.576714,3.138563,431.598366,3.717709
19171,2.942447,0.001133,460.356063,5.894838,460.393803,0.012804,431.077747,3.668444
22087,3.313940,0.001584,-459.795535,-3.557035,459.809294,-3.133857,428.638963,3.663786
6049,1.270682,0.001563,451.737009,1.174141,451.738535,0.002599,424.062438,3.599478
15623,2.490359,0.002247,-452.242660,-1.389853,452.244796,-3.138519,421.563641,3.603512
2872,0.865884,0.001138,-463.084077,0.046860,463.084080,3.141491,419.541437,3.689880
25415,3.737863,0.001154,-457.221218,1.013840,457.222342,3.139375,419.359520,3.643173
34309,4.870939,0.001428,-868.510630,0.810565,868.511009,3.140659,397.121850,6.920344
12383,2.077623,0.002049,-519.606155,-0.037178,519.606157,-3.141521,390.431470,4.140251
31101,4.462267,0.001122,697.222118,-0.982837,697.222811,-0.001410,379.663004,5.555510
27970,4.063457,0.001125,-937.156445,-2.594803,937.160037,-3.138824,344.251976,7.467344
34680,4.918237,0.001435,493.713645,-5.442682,493.743644,-0.011024,340.400310,3.934177
24717,3.648937,0.001014,527.945737,-1.799856,527.948805,-0.003409,317.878272,4.206726
