block,prime,repetition,period,C_real,C_imag,theory,ratio_error,difference_from_saved,same_sampling_C_real,same_sampling_C_imag,same_sampling_difference_from_saved
holdout,41,1,3.713572066704308,-0.1846078044544023,1.0074771063321303e-09,-0.184607803637099,4.42724146232365e-09,1.059262271982095e-09,-0.18460780384413497,1.4169025410964812e-10,1.1306898439408546e-14
holdout,43,1,3.7612001156935624,-0.18257543454134684,8.930144578536518e-10,-0.18257543342631882,6.107218286643956e-09,1.2734565299059685e-09,-0.18257543351611258,1.376446434742243e-10,3.905100392952949e-15
holdout,47,1,3.8501476017100584,-0.17876338973896283,-5.433988549291213e-10,-0.17876338822837304,8.450218969002776e-09,1.5077853282566202e-09,-0.1787633883210742,-3.0500545446492374e-11,1.867999975232662e-14
holdout,7,2,3.8918202981106265,-0.08848606199405526,1.2035819567788689e-09,-0.08848606258138285,-6.6375152041331376e-09,1.3233934663122947e-09,-0.08848606270306938,8.614073168995873e-11,6.982657918368305e-15
holdout,53,1,3.970291913552122,-0.173593969513096,-1.5191405197561408e-09,-0.1735939685443537,5.580506723390499e-09,1.7800224179459633e-09,-0.17359396859874196,8.18403567554891e-12,9.275923137409783e-14
holdout,59,1,4.07753744390572,-0.16897485365240486,9.56831533918452e-10,-0.16897485378921837,-8.096678882907327e-10,9.101011563694962e-10,-0.16897485384289557,6.687956691885022e-11,1.6065422537011898e-14
holdout,61,1,4.110873864173311,-0.16754032719642717,-1.925496646132423e-09,-0.16754032791775322,-4.305387601988286e-09,1.9351692969138713e-09,-0.1675403279400559,-1.3891363625592086e-10,5.653540215760105e-15
holdout,2,6,4.1588830833596715,-0.027579451150188918,2.6432992098221543e-09,-0.02757945001908145,4.101269124312523e-08,2.4585220063418996e-09,-0.027579450019450308,4.602423579079758e-10,1.7532523111135755e-14
holdout,67,1,4.204692619390966,-0.1635110027281315,2.2776541829907363e-09,-0.16351100147025147,7.692938064352006e-09,2.5556165553046175e-09,-0.16351100164419197,-3.6719938003726126e-11,1.5433324968291056e-14
holdout,71,1,4.2626798770413155,-0.1610288415904436,2.159178496182935e-09,-0.16102884271275783,-6.96964730373395e-09,2.1406614530310726e-09,-0.1610288427033747,3.3060101071300376e-10,6.46926599425334e-14
holdout,73,1,4.290459441148391,-0.15984259010660717,3.3144254658296535e-09,-0.1598425863444375,2.3536716797778467e-08,4.547036403527547e-09,-0.1598425868783953,1.1215398685634477e-10,4.146259395264675e-14
holdout,79,1,4.3694478524670215,-0.15648154847699908,3.9615023889574916e-09,-0.15648155106679665,-1.6550178338903265e-08,4.458460554256019e-09,-0.1564815508881505,2.1127793224904755e-10,4.493284609595468e-15
holdout,3,4,4.394449154672439,-0.03885545460939884,-9.985392456838004e-10,-0.03885546139622887,-1.746686253412122e-07,6.223006664877275e-09,-0.03885546075347279,-1.0582656133845601e-11,1.334225690581433e-14
holdout,83,1,4.418840607796598,-0.15439009191884637,-4.813117005726713e-09,-0.15439008898017337,1.903407809145108e-08,5.337522201431314e-09,-0.15439008915547386,-2.466162039440183e-10,1.025981261665351e-14
holdout,89,1,4.48863636973214,-0.1514500871539166,-2.851809211891327e-09,-0.15145009428891956,-4.711124801382027e-08,7.129568827229305e-09,-0.15145009376806487,-1.9030551375927035e-10,2.559173888972262e-14
holdout,97,1,4.574710978503383,-0.14785225867937035,-7.1720500589087905e-09,-0.14785224441209735,9.649683074819393e-08,1.492894908201011e-08,-0.14785224528622629,-5.768136664722623e-10,1.281742173617522e-14
holdout,101,1,4.61512051684126,-0.14617477441399726,-3.0357295906947596e-10,-0.14617479278578105,-1.256836656970961e-07,1.6955111371171215e-08,-0.14617479136824693,-1.3264441830808396e-10,1.559167185237475e-14
holdout,103,1,4.634728988229636,-0.14536365752711536,2.2158785830095294e-08,-0.145363663339395,-3.998440534225267e-08,2.1332759655567998e-08,-0.14536366288221206,1.509060435230705e-09,4.259872106521704e-14
holdout,107,1,4.672828834461906,-0.1437931268475297,2.5731471635028292e-08,-0.14379312149769535,3.720507835147657e-08,2.440204477304295e-08,-0.14379312187062993,1.8423520165659802e-09,2.1309121702755396e-14
holdout,109,1,4.6913478822291435,-0.14303242450842016,1.8020164534958198e-08,-0.14303243005044233,-3.8746612696094473e-08,1.748023438498342e-08,-0.1430324293815701,1.2329314109544867e-09,1.4862502044037295e-14
holdout,113,1,4.727387818712341,-0.14155728220763122,-9.335668000919499e-09,-0.14155725660115417,1.8089130615628335e-07,2.5029622240096037e-08,-0.14155725875199632,-5.998297769180995e-10,1.2415504421900157e-14
holdout,11,2,4.795790545596741,-0.06938843458815858,6.239948022680991e-09,-0.06938852466955447,-1.2982174837361526e-06,8.417077235413031e-08,-0.0693885185054586,-2.8745783862706537e-10,9.112086963533238e-15
holdout,5,3,4.828313737302301,-0.045821427376382916,-5.98758573774445e-08,-0.04582150488104508,-1.691447331753082e-06,9.118600791684618e-08,-0.04582150032947688,-5.1700226976156196e-09,3.826171460646545e-14
holdout,127,1,4.844187086458591,-0.13682600351920093,-5.712256519099451e-08,-0.13682617124428062,-1.225826010919917e-06,1.6584718680578724e-07,-0.13682616051582722,-3.6684014907621453e-09,1.0998754311191263e-14
holdout,2,7,4.852030263919617,-0.01950172528505472,-1.1581250180645224e-07,-0.01950161612988795,5.597236969689945e-06,1.5009545968155264e-07,-0.019501625885915877,-3.3471289414364376e-09,1.3618537917584834e-14
holdout,131,1,4.875197323201151,-0.1355833167021673,2.9245227366292455e-07,-0.1355834491603077,-9.769491867706037e-07,2.9964564070056615e-07,-0.13558343699545558,1.801276358807038e-08,1.662798277294748e-14
holdout,137,1,4.919980925828125,-0.13379920578441748,-7.594699640764554e-07,-0.13379912176069506,6.279841102685424e-07,7.044096319342336e-07,-0.13379915116200972,-5.7181315557850736e-08,1.7768406517324653e-14
holdout,139,1,4.9344739331306915,-0.1332231310836334,-5.26989641388766e-07,-0.13322434272608064,-9.094752673854956e-06,1.2082156071016563e-06,-0.1332242575762215,-9.018379908763895e-08,2.4621202150904293e-14
full,2,1,0.6931471805599453,-0.15601292905156847,-2.7726465641301177e-12,-0.1560129290391036,7.989631178872969e-11,1.947856227242881e-12,-0.15601292905344946,-3.2786091181711222e-12,5.361247726380811e-16
full,3,1,1.0986122886681098,-0.20189889988764625,2.4989299224430988e-12,-0.20189889986939866,9.037992576566012e-11,1.3033981910107034e-12,-0.20189889988887916,2.9155535670799586e-12,2.0436468135440146e-15
full,2,2,1.3862943611198906,-0.1103178000723035,-4.042792775245709e-12,-0.1103178000763258,-3.646094537401723e-11,7.02383560398107e-12,-0.11031780007422073,-1.0814387192815051e-11,3.202737182003814e-14
full,5,1,1.6094379124341003,-0.22910752438349477,-4.4978653379644747e-11,-0.22910752440522542,-9.484912855128869e-11,9.186101377215468e-13,-0.22910752438370843,-4.4085260399647864e-11,1.6889819264444123e-15
full,7,1,1.9459101490553132,-0.2341121160916318,-1.66969475979191e-11,-0.23411211608563706,2.560618383995461e-11,4.488394244104466e-12,-0.2341121160913555,-2.117557371994386e-11,1.929591348823004e-15
full,2,3,2.0794415416798357,-0.07800646458978774,1.9196461917366745e-12,-0.0780064645195518,9.003862100342985e-10,1.3384949589679128e-11,-0.07800646460186646,7.688379893045437e-12,9.352379144436639e-16
full,3,2,2.1972245773362196,-0.11656638416935028,-1.3325345061360933e-11,-0.1165663841886866,-1.6588252993443575e-10,2.912442047027242e-12,-0.11656638416657202,-1.2447293845326996e-11,1.855319518205486e-15
full,11,1,2.3978952727983707,-0.23013570114802478,-1.8833835908401133e-11,-0.23013570108523157,2.728530734685819e-10,8.827160463336427e-12,-0.23013570115682866,-1.9500184189640875e-11,2.935369610995657e-15
full,13,1,2.5649493574615367,-0.2264421376104194,2.2381458989099744e-12,-0.22644213759952758,4.809974640807013e-11,3.488639219537316e-12,-0.22644213761379453,3.12878878403114e-12,2.2889193234696815e-15
full,2,4,2.772588722239781,-0.05515890000487253,-1.0625206480619242e-11,-0.0551589000381629,-6.035357769107463e-10,9.502826396111278e-12,-0.055158899995637715,-1.2838345565720371e-11,7.008444298286601e-15
full,17,1,2.833213344056216,-0.21872828372807093,8.219816091763629e-12,-0.21872828371837585,4.4324766079739675e-11,5.0047570803044234e-12,-0.21872828372967631,3.483658446614404e-12,3.971803510832023e-15
full,19,1,2.9444389791664403,-0.21501852844282937,-7.375599740161965e-12,-0.21501852841127717,1.4674172987838574e-10,8.25829841186177e-12,-0.21501852844059088,-1.532647636886152e-11,2.775559171013075e-15
