n,unfolded_x,spacing_s
454,453.07703007,1.46306020
455,454.54009027,1.09309689
456,455.63318716,1.15618729
457,456.78937445,0.70826270
458,457.49763715,1.01701930
459,458.51465645,0.60918567
460,459.12384211,1.05474747
461,460.17858958,1.84596098
462,462.02455056,0.68216620
463,462.70671676,0.54587574
464,463.25259250,1.36047243
465,464.61306493,0.86471671
466,465.47778164,0.81300948
467,466.29079112,1.08026426
468,467.37105538,1.05425568
469,468.42531106,1.44779697
470,469.87310803,0.88562643
471,470.75873446,0.71268461
472,471.47141906,0.72954382
473,472.20096288,0.99669543
474,473.19765831,1.42455305
475,474.62221137,0.91450728
476,475.53671865,1.37304669
477,476.90976533,0.35341863
478,477.26318396,1.29868503
479,478.56186899,1.11434477
480,479.67621376,0.55496794
481,480.23118169,0.77439172
482,481.00557341,1.99253139
483,482.99810480,0.59443681
484,483.59254161,1.22852065
485,484.82106226,0.35488817
486,485.17595043,1.22844977
487,486.40440021,0.86500053
488,487.26940074,1.27690455
489,488.54630529,1.11337302
490,489.65967830,0.73016372
491,490.38984202,1.50436918
492,491.89421120,0.72374057
493,492.61795178,0.54122723
494,493.15917900,1.17304581
495,494.33222481,0.84921243
496,495.18143725,1.76978092
497,496.95121816,0.80863639
498,497.75985455,0.68360331
499,498.44345786,0.85280698
500,499.29626485,1.22774268
501,500.52400752,0.98673391
502,501.51074143,0.63845223
503,502.14919366,1.43838924
504,503.58758290,1.28075103
505,504.86833393,0.63864294
506,505.50697687,1.17633574
507,506.68331260,0.76899892
508,507.45231152,0.37566968
509,507.82798120,1.80685780
510,509.63483901,1.17458794
511,510.80942695,0.67291020
512,511.48233715,1.11419112
513,512.59652827,0.85227240
514,513.44880067,1.13394236
515,514.58274303,0.70277650
516,515.28551953,0.93624537
517,516.22176490,1.28231315
518,517.50407805,1.58907569
519,519.09315374,0.50900452
520,519.60215825,0.70216998
521,520.30432823,0.94746963
522,521.25179786,1.22411065
523,522.47590851,0.78330770
524,523.25921621,1.65681170
525,524.91602791,0.49903855
526,525.41506646,1.08350316
527,526.49856962,1.38687816
528,527.88544778,0.40406124
529,528.28950903,1.07213750
530,529.36164653,0.61172008
531,529.97336661,1.96726898
532,531.94063559,0.72886441
533,532.66950000,0.93140578
534,533.60090579,0.93652654
535,534.53743232,0.64668111
536,535.18411343,1.24681200
537,536.43092543,1.17944424
538,537.61036967,0.59544368
539,538.20581335,1.58117605
540,539.78698940,0.90199055
541,540.68897995,0.98277096
542,541.67175091,0.64999540
543,542.32174631,0.99544089
544,543.31718720,0.76664928
545,544.08383648,1.70780075
546,545.79163724,1.05336360
547,546.84500084,0.71472466
548,547.55972550,0.63568783
549,548.19541333,1.63168061
550,549.82709394,0.48374054
551,550.31083448,0.82837598
552,551.13921046,1.35732311
553,552.49653356,1.14343485
554,553.63996841,1.22121619
555,554.86118461,0.82142025
556,555.68260485,0.60492352
557,556.28752838,0.84532760
558,557.13285598,1.24486864
559,558.37772462,1.27862657
560,559.65635120,0.99290368
561,560.64925487,0.84976547
562,561.49902034,1.24076043
563,562.73978077,0.57797124
564,563.31775201,1.39441292
565,564.71216493,0.40381015
566,565.11597508,0.97440784
567,566.09038291,2.04490391
568,568.13528682,0.50354538
569,568.63883220,0.78296408
570,569.42179628,1.10139795
571,570.52319422,0.67712205
572,571.20031627,1.26785844
573,572.46817471,0.89155033
574,573.35972504,1.44556630
575,574.80529135,0.53572220
576,575.34101355,1.46695914
577,576.80797268,0.83051591
578,577.63848859,0.86832323
579,578.50681182,0.39058508
580,578.89739690,1.51066890
581,580.40806580,1.28830920
582,581.69637500,1.16618726
583,582.86256225,0.80218837
584,583.66475062,0.48545662
585,584.15020724,1.35564232
586,585.50584956,1.06724310
587,586.57309266,0.62346022
588,587.19655289,1.18176250
589,588.37831539,1.41285732
590,589.79117271,1.03277496
591,590.82394766,0.64621502
592,591.47016268,0.96256217
593,592.43272485,0.90289793
594,593.33562278,0.67110431
595,594.00672709,2.01561623
596,596.02234332,0.48574355
597,596.50808687,0.98202125
598,597.49010813,1.03888138
599,598.52898951,1.18826312
600,599.71725263,0.50736178
601,600.22461441,1.19253500
602,601.41714941,0.71387396
603,602.13102337,1.70337795
604,603.83440132,0.91396125
605,604.74836257,1.14305861
606,605.89142118,0.25011377
607,606.14153495,1.01187790
608,607.15341285,1.44145834
609,608.59487118,0.70427892
610,609.29915011,1.35417738
611,610.65332748,1.12041170
612,611.77373919,0.55930885
613,612.33304804,1.47637024
614,613.80941828,0.66758887
615,614.47700714,0.72368779
616,615.20069493,0.83589307
617,616.03658799,1.76941191
618,617.80599990,1.21122258
619,619.01722248,0.30833146
620,619.32555394,1.19248724
621,620.51804119,0.84553518
622,621.36357637,1.01022589
623,622.37380226,1.01429527
624,623.38809752,1.19434635
625,624.58244387,0.75873519
626,625.34117906,1.69616334
627,627.03734239,0.55198042
628,627.58932281,0.72372983
629,628.31305264,1.12722755
630,629.44028019,0.59326390
631,630.03354409,1.48573414
632,631.51927823,1.45563401
633,632.97491224,0.57121503
634,633.54612727,0.89070495
635,634.43683222,0.94778147
636,635.38461369,1.29655929
637,636.68117297,0.75920698
638,637.44037995,0.50334934
639,637.94372929,1.80037244
640,639.74410174,0.99148048
641,640.73558222,0.92654189
642,641.66212411,1.09114171
643,642.75326582,0.39151301
644,643.14477883,0.95903812
645,644.10381695,1.45166594
646,645.55548289,1.05363511
647,646.60911800,1.06117901
648,647.67029701,0.77776164
649,648.44805866,1.25721389
650,649.70527255,0.85144732
651,650.55671987,0.69714623
652,651.25386609,1.13638100
653,652.39024709,0.70139375
654,653.09164084,1.99026151
655,655.08190236,0.63769616
656,655.71959852,0.81716540
657,656.53676392,0.61702715
658,657.15379107,1.48826540
659,658.64205647,0.52465553
660,659.16671199,1.31961993
661,660.48633192,1.10921677
662,661.59554869,0.97646966
663,662.57201834,1.08436018
664,663.65637852,1.05847383
665,664.71485236,0.81419173
666,665.52904409,0.50791461
667,666.03695870,1.08667746
668,667.12363617,1.92979177
669,669.05342794,0.35859709
670,669.41202503,1.42728408
671,670.83930910,0.53646253
672,671.37577163,0.89118339
673,672.26695502,1.35544698
674,673.62240200,0.75970247
675,674.38210447,0.79547860
676,675.17758307,1.46193828
677,676.63952135,1.28608371
678,677.92560506,0.67349054
679,678.59909560,0.86400430
680,679.46309989,0.80450689
681,680.26760679,0.96483983
682,681.23244662,1.10402299
683,682.33646961,1.62905229
684,683.96552190,0.72507754
685,684.69059944,0.48186690
686,685.17246634,1.61411550
687,686.78658184,0.73068490
688,687.51726674,0.78725813
689,688.30452486,0.84920074
690,689.15372560,1.28758754
691,690.44131314,1.36045295
692,691.80176608,1.25164454
693,693.05341063,0.18029089
694,693.23370152,1.37558037
695,694.60928189,0.33541405
696,694.94469594,1.65929005
697,696.60398598,0.82080761
698,697.42479359,1.11161642
699,698.53641001,1.15459558
700,699.69100559,0.94423631
701,700.63524190,0.85794993
702,701.49319182,1.09594800
703,702.58913983,0.78095462
704,703.37009444,0.46680558
705,703.83690002,2.08071077
706,705.91761079,0.88617924
707,706.80379003,0.75693221
708,707.56072224,0.83968010
709,708.40040234,0.96345963
710,709.36386197,1.24315424
711,710.60701622,0.53820045
712,711.14521667,1.41094043
713,712.55615709,0.95234239
714,713.50849948,1.11498480
715,714.62348428,1.46005013
716,716.08353441,0.28089227
717,716.36442668,0.72772342
718,717.09215010,1.20075100
719,718.29290110,1.03670312
720,719.32960422,1.51239927
721,720.84200348,0.85300887
722,721.69501235,0.87634416
723,722.57135651,0.71022418
724,723.28158069,1.40586133
725,724.68744202,0.69273012
726,725.38017214,0.94339012
727,726.32356226,0.79587064
728,727.11943290,2.00425709
729,729.12368999,0.42711999
730,729.55080998,0.99781172
731,730.54862170,1.03984597
732,731.58846767,0.58608636
733,732.17455403,0.97099815
734,733.14555218,1.55077611
735,734.69632829,0.95231425
736,735.64864254,0.82324624
737,736.47188878,1.13974578
738,737.61163456,1.05835267
739,738.66998723,0.82311518
740,739.49310241,0.81512582
741,740.30822824,0.79475592
742,741.10298416,1.37442318
743,742.47740734,1.41944891
744,743.89685625,0.97188038
745,744.86873663,0.59230833
746,745.46104496,0.65086164
747,746.11190660,1.38818190
748,747.50008851,1.07496103
749,748.57504953,0.53026966
750,749.10531920,1.82740270
751,750.93272190,0.37051051
