peak_index,period_candidate,fwhm,amplitude_real,amplitude_imag,modulus,phase_rad,prominence,snr
3523,3.650329,0.004367,15.141405,-0.018519,15.141416,-0.001223,12.732299,7.014876
4094,4.160958,0.005592,13.674426,-2.624366,13.923980,-0.189612,12.572733,6.450849
3531,3.657469,0.004357,-14.910367,0.010979,14.910371,3.140856,12.523512,6.907835
3539,3.664585,0.004336,14.708518,-0.071008,14.708689,-0.004828,12.301035,6.814398
3547,3.671681,0.004309,-14.489316,0.149812,14.490090,3.131254,12.014692,6.713123
3491,3.621577,0.003593,17.536704,-0.924266,17.561043,-0.052656,11.667807,8.135867
3555,3.678758,0.004240,14.284603,-0.182440,14.285768,-0.012771,11.523053,6.618463
3563,3.685796,0.004230,-14.022750,0.281565,14.025576,3.121516,11.177602,6.497918
3625,3.741557,0.004218,-12.549708,0.073798,12.549925,3.135712,10.343299,5.814262
3571,3.692821,0.004163,13.547201,-0.610608,13.560955,-0.045042,10.294973,6.282663
3579,3.699981,0.004169,-13.432176,0.435732,13.439242,3.109165,10.058444,6.226275
3633,3.748670,0.004030,13.048522,0.029246,13.048555,0.002241,9.847518,6.045273
3617,3.734639,0.004040,12.689954,0.085717,12.690244,0.006755,9.645610,5.879271
3671,3.782640,0.004117,-11.684118,0.137881,11.684932,3.129792,9.579615,5.413519
3686,3.796139,0.004034,-11.531475,-0.056324,11.531612,-3.136708,9.175220,5.342488
3694,3.802902,0.004113,11.202186,-0.313570,11.206574,-0.027985,9.085791,5.191901
3678,3.789390,0.004066,11.459350,0.416934,11.466933,0.036368,9.057524,5.312522
3709,3.816372,0.004105,10.991285,-0.314747,10.995791,-0.028628,8.993085,5.094247
3314,3.463263,0.003604,-14.324062,-8.794389,16.808332,-2.590972,8.930803,7.787143
3663,3.775707,0.004157,11.490709,0.067313,11.490906,0.005858,8.579059,5.323629
3609,3.727625,0.003997,-12.705031,-0.369738,12.710410,-3.112499,8.548202,5.888614
3701,3.809643,0.003936,-11.200571,-0.120109,11.201215,-3.130870,8.524767,5.189418
3761,3.863091,0.003909,-10.104972,0.363471,10.111507,3.105639,8.231927,4.684566
3716,3.823076,0.003882,-10.938634,-0.112211,10.939209,-3.131335,8.206817,5.068033
3724,3.829768,0.003872,10.755106,-0.050784,10.755226,-0.004722,8.074581,4.982795
3776,3.876249,0.003916,-10.108873,0.307193,10.113539,3.111214,8.043882,4.685508
3768,3.869659,0.003877,10.078571,0.398798,10.086458,0.039548,7.775497,4.672961
3466,3.599576,0.003608,-15.225738,-1.008534,15.259103,-3.075451,7.742820,7.069399
3216,3.375396,0.002734,23.622499,-2.409805,23.745097,-0.101661,7.530069,11.000881
3820,3.915564,0.003957,-9.218780,0.321227,9.224375,3.106762,7.482426,4.273566
3812,3.909084,0.003917,9.222916,0.231743,9.225827,0.025122,7.327279,4.274239
3827,3.922057,0.003888,9.222853,-0.109800,9.223506,-0.011905,7.280133,4.273164
3731,3.836407,0.003717,-10.719727,-0.302296,10.723988,-3.113400,7.135018,4.968323
3783,3.882455,0.003168,9.896866,-0.065218,9.897080,-0.006590,6.960359,4.585225
3841,3.935027,0.003869,8.869561,0.276118,8.873858,0.031121,6.959622,4.111175
3863,3.954484,0.003676,-9.120509,0.164647,9.121995,3.123542,6.822181,4.226135
3849,3.941518,0.003863,-8.724483,0.248627,8.728025,3.113103,6.780235,4.043612
3805,3.902493,0.004205,-8.716172,-0.127696,8.717108,-3.126943,6.567865,4.038554
3870,3.960461,0.002846,9.618324,-0.346665,9.624569,-0.036027,6.562094,4.458973
3906,3.992937,0.003843,-8.173497,-0.039796,8.173594,-3.136724,6.543291,3.786749
3834,3.928546,0.003682,-9.103558,-0.086549,9.103970,-3.132086,6.537743,4.217784
3856,3.948027,0.003686,8.811264,-0.124690,8.812146,-0.014150,6.280368,4.082585
3920,4.005614,0.003785,-7.929242,-0.200966,7.931788,-3.116253,6.199444,3.674723
3927,4.011975,0.003846,7.755840,0.291283,7.761308,0.037539,6.188999,3.595741
4026,4.099993,0.003283,8.298003,-0.534789,8.315219,-0.064359,6.155069,3.852363
3913,3.999263,0.003706,8.106707,0.098915,8.107310,0.012201,6.136523,3.756041
3935,4.018326,0.003868,-7.634572,0.317108,7.641155,3.100081,6.122897,3.540075
3942,4.024661,0.003834,7.616099,-0.279330,7.621220,-0.036660,6.087270,3.530840
3949,4.030984,0.003799,-7.575072,0.238185,7.578816,3.110160,6.005579,3.511194
3956,4.037298,0.003765,7.528711,-0.178153,7.530819,-0.023659,5.910806,3.488958
3963,4.043597,0.003730,-7.482257,0.109373,7.483056,3.126976,5.802980,3.466830
3899,3.986589,0.003701,7.894450,0.131316,7.895542,0.016632,5.655337,3.657931
3970,4.049876,0.003699,7.407958,-0.090198,7.408507,-0.012175,5.648579,3.432292
3977,4.056150,0.003675,-7.252973,0.217456,7.256232,3.111620,5.405016,3.361744
