peak_id,grid_period,period,fwhm_instrument,z,p_adjusted_primary,class_primary,detected_primary,z_secondary,p_adjusted_secondary,class_secondary,detected_secondary,z_refined,amplitude_real,amplitude_imag,modulus,phase_rad,null_noise_rms
17,3.9706381356916363,3.9702916435517324,0.007384336458918375,4.301205088754897,0.001,detected,True,3.710542446902581,0.02,detected,True,4.3232625695422024,-21.28815869898647,67.36358552255247,70.64728130117588,1.8768837051692973,16.328043832332984
18,4.077711014345953,4.077537131506148,0.007384336458918375,4.088339202418377,0.001,detected,True,3.481787489509046,0.03,inconclusive,False,4.0957419980191,-56.56029678390698,39.11378290103727,68.76739914460276,2.5365662362782624,16.795355024887925
19,4.110940528411085,4.1108737962580895,0.007384336458918375,4.018026599123503,0.001,detected,True,3.398949736806975,0.035,inconclusive,False,4.019052760932327,66.89851847425219,13.175653246523204,68.18364622490117,0.1944610113950395,16.965718965066305
20,4.205090818262295,4.2046924385045745,0.007384336458918375,3.908994866670443,0.001,detected,True,3.3828411068577404,0.04,inconclusive,False,3.9387387628406705,56.77530353627747,-34.70790410965938,66.54377280648995,-0.548701805820128,16.890442949894915
21,4.262319425818912,4.262680185059305,0.007384336458918375,3.7921237055087227,0.001,detected,True,3.2870786367956892,0.07,inconclusive,False,3.816728178949138,55.12734559925324,35.434865911692235,65.53360935427801,0.5712843141523058,17.170930816515078
22,4.290010687539856,4.290459451349682,0.007384336458918375,3.7984993440316583,0.001,detected,True,3.1957239675030658,0.105,not_detected,False,3.834264614973007,-11.029889837707445,64.1089472286408,65.05086920707988,1.7411773995965918,16.955930216809282
23,4.369392304473228,4.369447883381588,0.007384336458918375,3.6421109106912564,0.005,detected,True,3.093563032716007,0.15,not_detected,False,3.642610464452716,-6.922977920579289,63.305753104878335,63.6831688867996,1.6797212876083167,17.482579457768722
24,4.4192365755709275,4.418840396641665,0.007384336458918375,3.500825493715713,0.006,detected,True,3.0282169402110806,0.18,not_detected,False,3.5311596235858755,-5.056739722637961,-62.62791960226011,62.83173505745055,-1.6513641251661737,17.809222804146863
25,4.488464729873288,4.488636614443402,0.007384336458918375,3.4128245273775786,0.011,detected,True,2.9358835249080713,0.26,not_detected,False,3.4181590364233148,-49.07809973957057,-37.28638197519349,61.63549427762603,-2.491889790576632,18.033717925708693
26,4.574307641208213,4.574711117465069,0.007384336458918375,3.201827443311595,0.061,inconclusive,False,2.850787790968435,0.34,not_detected,False,3.2288775088107466,14.660445792107407,58.35783632877778,60.17113703263165,1.3246731408508894,18.642373190066273
27,4.6149214917322645,4.61512072672421,0.007384336458918375,3.2427421616214946,0.043,inconclusive,False,2.8563613073384637,0.33,not_detected,False,3.2483745023414197,-48.661741440781526,34.2186121352232,59.48847364414655,2.5287267266336064,18.309296999584937
28,4.634305374936925,4.634729222275727,0.007384336458918375,3.1709183770321534,0.071,not_detected,False,2.8672085059132235,0.315,not_detected,False,3.199716228493312,-49.91813323498,-31.747658855791148,59.158548566449035,-2.5751262087028883,18.49186468557437
29,4.673073141346246,4.6728284618134355,0.007384336458918375,3.07854207110354,0.128,not_detected,False,2.7084849358475456,0.645,not_detected,False,3.0873897647279387,-56.11568201034502,16.59842766570289,58.519035949507334,2.854003195982654,18.95271211732337
30,4.691533982493542,4.691347685369743,0.007384336458918375,3.103163617310299,0.103,not_detected,False,2.7536253921154565,0.54,not_detected,False,3.1085777351294324,2.7981713695245074,58.14201929683839,58.20931343803287,1.5227069404291926,18.726036516857043
31,4.727532622730769,4.727387538882422,0.007384336458918375,3.0427701738992834,0.145,not_detected,False,2.8607174027303492,0.32,not_detected,False,3.0461943577058097,13.479896093317315,-56.00988977183476,57.609160304067196,-1.3346180014542768,18.913522254664652
